"SMTP Pro Email General Settings","SMTP Pro Email - Configurações Gerais"
"If you are experiencing problems with this extension please run the self diagnosing test by clicking the button below. The module will log what it is doing if you enable logging, this can be useful to determine problems aswell. If you have any questions or would like any help please visit &lt;a href='http://aschroder.com' target='_blank'&gt;ASchroder.com&lt;/a&gt;.","Se você estiver tendo problemas com esta extensão execute o teste de auto diagnóstico, clicando no botão abaixo. O módulo irá registrar o que está fazendo, se você ativar o log, isso pode ser útil para determinar problemas também. Se você tiver alguma dúvida ou quiser alguma ajuda, por favor visite <a href='http://aschroder.com' target='_blank'> ASchroder.com </ a>."
"Choose extension option","Selecione a opção da extensão"
"This will determine if the extension uses the simple Google Apps/Gmail configuration, The advanced SMTP configuration or disables the extension completely.","Isso vai determinar se a extensão utiliza a configuração simples Google Apps/Gmail, a configuração SMTP avançada ou desativa a extensão por completo."
"Use Store Email Addresses for Reply-to","Usar Endereço de Email da Loja para Reply-To"
"Development Mode options","Opções de Desenvolvimento"
"Development Mode disabled","Modo de desenvolvimento desabilitado"
"Redirect to contact form email","Redirecionar para o email do formulário de contato"
"Supress all emails","Suprimir todos os e-mails"
"These options can be used during development and testing to control the destination of all emails, or to stop Magento emails sending. (Note: if extensions do not send emails 'the magento way' then they will not be supressed)","Essas opções podem ser usadas durante o desenvolvimento e teste para controlar o destino de todos os e-mails, ou para parar o envio de e-mails do Magento. (Nota: se as extensões não enviarem e-mails 'no formato magento', então eles não serão suprimidos)"
"Log all messages","Salvar log de todas as mensagens"
"Email Log","Log de Email"
"This will log all outbound emails to the table smtppro_email_log and allow viewing within the admin interface from System->Tools->Email Log.","Isto irá salvar todos os e-mails de saída na tabela smtppro_email_log e permitir a visualização dentro da interface de administração em Sistema -> Ferramentas -> E-mail Log."
"Run Self Test","Executar Teste"
"This test will ensure the configuration in your Google Apps/ Gmail OR SMTP section are working. You have to save the settings from either of these sections before running this test.","Este teste vai verificar se as configurações na seção Google Apps/Gmail ou SMTP estão funcionando. Você tem que salvar as configurações a partir de qualquer uma dessas seções antes de executar este teste."
"SMTP Pro Email Google Apps/Gmail Settings","SMTP Pro Email - Configurações Google-Apps/Gmail"
"SMTP Pro Email SMTP Settings","SMTP Pro Email - Configurações SMTP"
"Authentication","Autenticação"
"None (ignore username/password)","Nenhuma (ignora usuário/senha)"
"This will determine if and how you authenticate with your SMTP server. If you choose no authentication then the username and password below are not used.","Isso vai determinar como você autenticar com o servidor SMTP. Se você optar por nenhuma autenticação, o nome de usuário e senha abaixo não serão usados."
"Username","Usuário"
"If you use Authentication for your SMTP server this is the username used to authenticate.","Se você usar Autenticação para seu servidor SMTP este é o nome de usuário usado para autenticar."
"If you use Authentication for your SMTP server this is the password used to authenticate.","Se você usar Autenticação para seu servidor SMTP esta é a senha usada para autenticar."
"This is the SMTP server hostname you would like to send your emails through. This is required.","Este é o servidor SMTP que você deseja enviar seus e-mails. Este campo é obrigatório."
"This is the port on the SMTP server you connect to. The value is optional, it defaults to 25 for none and TLS or 465 for SSL.","Esta é a porta que será usada para se conectar à seu servidor SMTP. O valor é opcional, o padrão é 25 para nenhum e TLS ou 465 para SSL."
"SSL Security","Segurança SSL"
"No SSL","Sem SSL"
"This will determine if any SSL security should be used to connect to your SMTP server.","Isso vai determinar se alguma segurança SSL deve ser usada para se conectar ao servidor SMTP."
